District Number,Not Economically Disadvantaged Percent
97902,49.94
127903,26.39
123914,-9999999
219901,61.51
146904,45.08
100905,60.83
15904,10.22
102905,-9999999
31903,23.01
230905,50.95
101858,44.4
101862,55.62
71806,30.15
15828,-9999999
161807,45.78
101846,25.23
227816,-9999999
86902,61.86
244901,33.62
35902,11.59
103902,38.36
225907,37.2
104901,31.89
250902,42.86
127904,46.85
105906,52.48
198905,5.92
65902,21.55
202903,37.66
237902,27.31
201902,36.03
39902,58
15833,-9999999
59901,19.09
15815,23.34
208901,45.71
97903,43.15
108905,10.58
148903,-9999999
84903,26.67
220819,73.18
177905,61.5
57911,100
188903,37.69
109904,29.74
84908,18.94
14905,50.21
5902,76.43
163904,36.56
74907,38.81
19902,42.47
108802,34.3
101828,8.03
101821,13.64
101829,-9999999
101912,23.01
91905,56.1
19913,23.81
109905,39.07
72908,68.75
3902,47.29
101925,64.3
34903,43.14
146905,23.98
101913,66.6
133902,49.7
3904,-9999999
236902,43.02
220916,48.15
246906,57.88
152910,63.35
108807,11.42
43801,93.9
120905,66.17
205903,43.46
133904,-9999999
57830,12.15
57848,48.02
93903,62.93
243903,58.2
208903,72.76
186903,43.48
18906,40.71
118902,68.46
57912,22.38
70907,40
109907,-9999999
119902,38.53
37904,21.89
246907,43.73
121904,-9999999
132902,-9999999
57819,-9999999
155901,30.11
124901,16.85
221911,75.9
210902,39.94
15808,-9999999
16901,66.52
50909,43.21
126905,49.14
7902,-9999999
15822,36.25
15916,36.72
134901,30.96
102901,-9999999
128901,32.81
105801,53.75
101914,71.23
126801,87.5
129903,36.9
126906,24.29
220907,75.66
242905,38.46
129904,27.95
131001,32
128902,28.43
113906,36.19
220914,61.21
175907,21.35
248901,29.49
133903,45.74
105803,0
92902,34.69
14906,44.98
137901,25.8
227820,11.98
57837,8.66
101813,9.1
15826,13.81
121905,40.99
101915,59.44
58905,64.86
232901,69.51
138902,28.75
18907,27.4
100903,50.98
219905,26.05
61905,64.41
57839,8.22
71807,4.25
31905,15.9
125906,-9999999
75902,-9999999
108912,6.23
101916,50.56
254902,22.61
161906,-9999999
247903,75.79
108914,8.39
15913,67.82
227912,74.4
61912,60.33
227913,88.48
220910,19.79
79901,57.84
58906,14.9
141901,48.96
57913,13.46
201903,-9999999
107910,45.81
240901,7.01
245901,22.47
113905,52.8
185904,33.33
61804,96.23
193902,45.03
246913,81.08
19914,20.18
90902,39.02
57846,34.88
187906,26.99
145911,48.32
74909,43.46
110902,29.99
201904,22.31
61902,67.64
144902,58.82
246908,75.12
146906,37
19908,24.77
57807,44.23
15825,13.22
212903,55.09
34905,-9999999
49907,88.57
72909,50.55
111902,48.81
181908,63.49
61914,57.56
140904,23.74
187907,33.25
150901,33.57
28902,31.99
77902,24.78
160905,15.63
141902,23.27
178906,88.63
116906,-9999999
92903,29.25
83902,41.79
168902,28.24
161907,75.94
54902,23.47
31906,-9999999
241906,42.53
43919,97.42
113903,57.12
152901,33.33
152906,68.05
127905,21.3
3903,22.49
28903,28.37
100907,72.77
57805,35.84
245902,18.48
7904,28.69
129905,39.43
154901,31.61
170906,59.97
107906,36.11
109908,-9999999
19910,48.32
57844,56.27
227907,23.45
220908,59.74
22902,-9999999
27904,35.19
189901,-9999999
94904,55.58
73903,1.26
102902,23.02
161908,22.2
234905,55.83
174909,51.43
157901,52.33
158904,47.4
205904,19.87
19903,-9999999
25905,35.91
70915,60.6
108906,27.84
231901,40.59
11905,37.39
161909,27.99
43907,69.8
90903,48.98
34906,-9999999
162904,72.83
223902,-9999999
130801,-9999999
10901,38.26
163908,47.06
43908,84.37
96904,27.15
164901,27.21
108907,10.2
18902,36.33
246801,91.56
221904,42.44
57914,25
147903,19.88
101855,-9999999
62906,68.18
197902,75.9
165802,58.64
165901,49.68
70908,-9999999
108804,5.22
39905,49.61
161903,69.56
166903,41.26
175910,59.56
200902,65.49
70909,24.42
112907,40.19
184904,55.95
250903,38.65
182903,27.59
108908,16.3
238902,51.7
169908,52.05
108915,9.3
227826,61.01
170903,75.93
161910,31.39
209902,19.33
18903,10.4
72910,70.18
40901,5.69
173901,25.79
143902,47.96
109910,22.16
201907,45.39
225902,18.5
80901,39.37
49902,86.29
9901,18.44
167902,0
198906,27.59
138903,43.91
107908,38.98
174904,18.76
163903,22.4
94903,65.01
93904,23.5
35903,84.12
1906,54.5
123905,58.76
79906,63.12
19905,35.91
46901,64.56
170908,38.79
152902,38.98
230906,60.56
15805,15.5
153905,75.41
37908,12.5
236901,50.59
252902,33.78
220817,54.89
176902,35.1
89903,16.28
169902,37.56
62902,61.54
145906,47.8
15910,53.56
112906,40.31
139911,51.28
61802,21.96
154903,-9999999
15915,50.37
244905,67.14
61911,81.8
57809,4.69
57827,15.69
69902,31.8
235904,35.19
227804,68.58
153903,-9999999
145907,17.74
205905,22.54
84802,30.46
50904,31.01
200906,-9999999
252903,34.89
140905,28.9
187910,30.87
125903,42.24
181905,65.55
230903,27.84
14804,85.78
201908,-9999999
51901,28.99
104907,22.54
48903,22.61
158905,34.65
1907,25.07
70910,48.1
182906,39.34
90904,38.44
33902,-9999999
183801,58.47
42905,24.69
249906,74
139909,22.65
101917,22.31
71803,7.05
63906,17.48
13902,16.09
20908,71.57
82903,18.74
184908,64.97
195901,37.49
57802,10.68
109914,27.11
119903,45.4
179901,37.9
95904,19.69
39903,47.62
13903,28.95
172905,32.23
227904,51.64
108909,12.25
61903,-9999999
92904,40.59
3801,54.62
57850,44.16
32902,23.75
251902,34.86
95905,26.2
43910,71.39
19912,68.22
7905,43.83
117904,-9999999
31909,12.61
61906,60.3
184901,43.4
15801,20.53
178908,68.3
123907,16.1
123908,66.25
15814,7.24
85902,29.93
7906,23.57
247904,62.32
91913,62.1
28906,-9999999
169909,39.33
139912,49.02
72801,38.29
125905,20.74
189902,6.7
167904,25.23
43911,42.09
98903,42.19
14803,58.7
108910,0.65
101853,1.8
43912,94.06
99903,23.2
34907,43.66
116908,32.85
250904,44.62
190903,41.34
54903,17.67
66005,-9999999
234801,57.89
15906,92.02
67907,24.61
231902,49.46
161802,31.78
101806,2.18
236801,0
245903,11.56
192901,39.37
19911,88.49
70911,54.46
19906,62.76
196903,34.05
137902,50.42
45903,23.54
175911,31.18
14801,27.63
93905,39.49
57916,45.97
57840,80.94
206902,-9999999
161912,58.67
214901,20.43
31911,13.31
126907,44.53
152802,12.41
67908,29.08
188902,36.38
194903,-9999999
137903,30.92
41902,37.84
161922,66.85
178909,12.62
76903,49.66
160904,48.15
166904,31.49
69901,26.83
199901,75.82
14907,55.13
214903,11.75
152908,23.21
110905,55.32
177901,51.59
73905,33.9
76904,41.46
246909,74.16
75908,63.7
139908,20.56
237905,18.73
199902,66.07
104903,12.95
128903,23.02
37907,35.75
91914,49.2
232902,33.8
92906,-9999999
123913,44.47
169911,48.89
14908,73.97
112909,32.26
74917,56.08
226903,41.82
15907,9.28
15820,4.15
203901,15.1
31912,15.87
66902,20.7
71904,4.05
233901,24.34
214902,13.52
105902,29.46
245904,25.91
206901,40.84
22903,-9999999
58909,48.51
117903,63.34
61908,57
42903,28.07
84909,65.25
137904,68.75
31913,-9999999
31914,-9999999
182904,54.62
74911,56.75
94902,70.91
207901,40.53
15806,6.75
15827,50.08
15831,41.66
75903,42.43
129910,55.23
83901,27.37
8902,42.21
178808,98.98
94901,33.74
83903,46.73
101802,4.06
12901,44.03
152909,58.03
242902,34.22
108911,39.39
210903,-9999999
101924,21.09
204904,26.84
91906,32.47
143903,72.39
47905,40
115902,31.71
100904,47.15
23902,46
19909,48.58
205906,28.55
49909,22.22
13905,43.3
152903,25.12
249908,45.85
1909,50.85
11904,37.41
110906,35.48
26903,28.96
208902,48.78
71909,28.85
15909,21.86
26902,22.22
218901,41.49
152803,9.8
15908,-9999999
31916,46.86
85903,-9999999
15917,18.97
15912,18.52
15807,22.8
101838,12.51
98904,39.88
170907,40.97
101920,44.05
117907,77.67
92907,60
101919,31.54
140907,25.93
184902,45.33
63903,42.86
229905,-9999999
57836,30.67
13801,19.86
79910,31.31
127906,33.84
156902,46.19
101859,17.48
174801,91.37
72903,53.89
216901,58.16
247906,49.62
211902,41.9
182905,43.17
140908,46.1
112910,45.62
112901,40.63
110907,62.72
57919,-9999999
171902,46.35
20906,49.98
143905,84.42
177902,28.37
205907,-9999999
153904,31.41
146907,53.19
201910,40.82
246911,36.47
81904,43.3
123803,3.05
14909,27.03
210904,8.98
22004,22.64
222901,52.05
129906,24.2
57804,11.8
19907,31.86
84906,28.04
221801,52.96
227805,-9999999
226801,51.24
105802,-9999999
220814,89.77
170801,13.02
211901,-9999999
56902,42.29
227828,56.19
227827,35.14
101864,42.62
101868,9.09
101861,27.66
101814,12.51
166905,53.29
246912,69.67
149902,32.85
72901,16.67
224901,36.77
158902,34.25
210905,33.92
91907,61.93
111903,72.57
91918,53.58
101921,78.31
71908,5.03
220801,83.61
221905,50.51
74912,57.47
107907,35.19
57813,10.69
46802,0
57849,8.79
228903,26.44
61805,93.5
212904,44.88
14910,52.08
219903,21.03
178912,45.69
96905,49.75
101840,4.68
212905,36.75
57845,71.13
230908,55.26
230904,36.03
240903,-9999999
57808,70.77
101807,67.19
227819,42.11
227806,43.29
57803,24.59
212804,77.04
232904,56.88
68803,83.13
232903,21.41
122902,28.26
18904,43.11
49903,54.83
108916,-9999999
91908,70.42
234906,49.53
158906,48.66
108808,17.17
180902,72.8
126908,27.26
226908,53.31
244903,34.48
235902,33.72
181907,49.96
57847,65.61
71809,60.06
143904,53.1
161801,0
161914,14.67
89905,-9999999
59902,-9999999
226906,87.09
237904,36.72
49908,-9999999
18905,14.66
229904,-9999999
102903,39.04
226905,45.43
70801,11.95
70912,51.59
227803,46.06
184903,58.41
240904,29.67
45905,51.93
44902,37.73
223904,33.93
37909,35.21
108913,18.29
100908,46.26
161916,58.63
181906,20.95
178915,16.33
201914,23.91
202905,24.26
168903,67.28
62905,-9999999
220810,100
73904,75.64
1908,35.25
241904,18.08
242903,49.11
33904,52.46
92908,60.81
220920,44.83
40902,43.33
212906,58.7
91909,54.03
91910,56.4
110908,68.75
109911,38.05
243905,37.39
180904,66.95
170904,41.39
234907,34.75
153907,-9999999
105905,76.29
5904,-9999999
225905,-9999999
57828,37.23
248902,65.55
250907,47.46
212910,30.57
200904,-9999999
174906,43.42
116909,40.54
196902,45.01
