Year,NCES ID,State ID (CDN),District Name,County,Reported Enrollment,Average Daily Attendance (ADA),Total Revenue,Local Tax Revenue,Other Local & Intermediate ,State Revenue,Federal Revenue,Local Tax Revenue (%),Other Local & Intermediate (%),State Revenue (%),Federal Revenue (%),Total Operating Expenditures (TOP),Payroll,Other Operating,Debt Service,Capital Outlay,TOP - Instruction ,TOP - Instructional Res Media,TOP - Curriculum/Staff Develop,Instructional Leadership,School Leadership,Guidance Counseling Svcs,Social Work Services,Health Services,Transportation,Food,Extracurricular,General Administration,Plant Maint/Operation,Security/Monitoring,Data Processing Services,Community Services,Total Disbursments,Total Expenditures,Recapture,Total Other Uses,Intergovernmental Charge,Program Operating Expenditures,Regular,Gifted & Talented,Career and Technical,Students with Disabilities,Accelerated Education,Bilingual,Nondisc Alt Ed-AEP Basic Serv,Disc Alt Ed-AEP Basic Serv,Disc Alt Ed-AEP Supplemental Serv,T1 A Schoolwide- St Comp >=40%,Athletics/Related Activities,High School Allotment,Prekindergarten,Total Tax Rate,M&O Rates,I&S Rates,Property Value,Property Value Per Pupil,Prop Val: Business,Prop Val: Residential,Prop Val: Land,Prop Val: Oil and Gas,Prop Val: Other,Wealth Per ADA,Recapture*,ASATAR*,Surplus,Deficit,Year Fixed
2012,4828550,003903,Lufkin ISD,Angelina,"8,506","7,801.673","$74,359,247","$25,570,032","$2,045,703","$35,158,077","$11,585,435",34.39,2.75,47.28,15.58,"$68,347,825","$55,129,161","$13,276,921","$4,732,371","$4,708,261","$37,107,184","$968,331","$1,849,467","$1,577,765","$3,482,256","$2,212,558","$99,787","$551,623","$2,954,013","$4,908,399","$1,769,732","$1,555,606","$7,633,825","$604,960","$1,072,319","$58,257","$78,494,949","$77,846,714",$0,$0,"$648,235","$49,532,465","$28,943,255","$135,944","$1,728,488","$7,883,667","$4,677,476","$554,656","$191,000","$293,890",$0,"$1,801,227","$966,572","$580,306","$1,775,984",1.2050,1.0400,0.1650,"$2,109,500,335","$248,001","$1,075,432,745","$1,177,605,904","$190,500,136","$3,938,012","$26,007,071","$272,808",$0,$0,"$26,429,596",$0,2012
2012,4824000,003904,Huntington ISD,Angelina,"1,751","1,647.250","$17,534,327","$2,933,586","$835,178","$11,676,665","$2,088,898",16.73,4.76,66.59,11.91,"$13,803,655","$10,460,189","$3,345,370","$1,644,515","$728,055","$7,130,238","$166,782","$71,668","$311,179","$857,448","$407,641",$0,"$170,869","$530,803","$878,638","$715,959","$633,920","$1,619,287","$108,115","$201,108","$1,904","$16,223,784","$16,178,129",$0,$0,"$45,655","$9,398,890","$5,368,902","$29,677","$513,819","$1,618,795","$1,254,762","$27,304",$0,"$18,583",$0,$0,"$502,157","$64,891",$0,1.4500,1.1700,0.2800,"$211,057,575","$120,535","$33,611,946","$143,508,554","$94,840,178","$237,310","$7,142,274","$120,565",$0,$0,"$3,584,460",$0,2012
2012,4817040,003905,Diboll ISD,Angelina,"1,965","1,759.301","$19,420,616","$3,146,423","$765,527","$12,373,290","$3,135,376",16.2,3.94,63.71,16.14,"$16,036,829","$12,190,375","$4,070,744","$1,179,170","$8,731,476","$8,446,479","$327,648","$291,693","$304,195","$877,082","$458,414",$0,"$117,370","$544,300","$1,187,626","$581,285","$603,836","$1,869,920","$51,453","$375,528","$224,290","$26,275,844","$26,171,765",$0,$0,"$104,079","$11,427,923","$5,665,808","$356,543","$484,767","$1,172,800","$610,204","$435,594",$0,"$56,365",$0,"$1,732,787","$416,034","$130,821","$366,200",1.2800,1.1700,0.1100,"$264,877,573","$134,798","$137,934,304","$134,713,597","$41,954,006","$1,286,760","$3,059,875","$139,156",$0,$0,"$8,147,064",$0,2012
2012,4846740,003906,Zavalla ISD,Angelina,445,417.364,"$5,251,629","$1,292,533","$136,465","$2,932,202","$890,429",24.61,2.6,55.83,16.96,"$4,035,268","$3,095,307","$939,961","$663,366","$168,106","$2,470,715","$60,689","$3,462","$4,888","$173,862","$35,053",$0,"$25,519","$203,388","$223,453","$98,927","$294,429","$390,178",$860,"$49,845",$0,"$4,887,925","$4,866,740",$0,$0,"$21,185","$2,877,535","$1,580,089","$12,362","$161,355","$413,440","$402,600",$0,$0,$0,$0,"$186,715","$83,118","$37,045",$811,1.4206,1.1700,0.2506,"$89,573,118","$201,288","$13,065,024","$64,093,259","$37,150,015","$7,973","$2,805,144","$195,683",$0,$0,"$3,570,662",$0,2012
2012,4813500,003907,Central ISD,Angelina,"1,529","1,443.719","$13,457,236","$2,991,588","$532,035","$8,323,611","$1,610,002",22.23,3.95,61.85,11.96,"$12,939,285","$9,955,233","$2,984,317","$809,536","$96,226","$6,820,276","$284,153","$299,610","$182,634","$809,931","$536,610",$0,"$143,375","$516,474","$720,290","$346,005","$533,266","$1,626,121","$70,608","$49,932",$265,"$13,936,726","$13,845,312",$0,$0,"$91,414","$9,128,148","$5,924,172","$28,773","$477,651","$1,210,646","$441,411","$15,349","$34,511","$34,418",$0,"$573,399","$265,561","$110,353","$11,904",1.1900,1.1700,0.0200,"$262,854,199","$171,912","$41,649,025","$148,817,460","$68,440,402","$53,723,273","$6,520,397","$171,163",$0,"$31,606","$3,147,182",$0,2012
2012,4808550,004901,Aransas County ISD,Aransas,"3,129","2,919.411","$36,086,251","$21,814,224","$1,353,633","$8,420,906","$4,497,488",60.45,3.75,23.34,12.46,"$30,813,334","$23,928,734","$7,059,227","$3,908,069","$7,226,474","$16,631,423","$293,366","$452,577","$176,603","$1,453,779","$1,125,931",$0,"$240,312","$991,442","$1,783,230","$1,184,836","$1,441,811","$4,428,460","$202,778","$406,786","$158,040","$48,478,208","$42,122,504","$6,288,561",$0,"$67,143","$21,162,639","$13,217,089","$69,740","$928,931","$2,946,497","$551,056","$40,658",$0,"$203,775",$0,"$1,805,660","$817,464","$293,598","$288,171",1.1324,1.0401,0.0923,"$2,456,442,895","$785,057","$338,405,311","$2,058,065,072","$306,098,040","$34,522,680","$20,896,210","$861,013","$6,324,785","$6,063,506","$33,905,957",$0,2012
2012,4808610,005901,Archer City ISD,Archer,499,474.267,"$5,867,061","$2,160,573","$378,813","$2,986,196","$341,479",36.83,6.46,50.9,5.82,"$5,252,711","$4,126,017","$1,226,737","$147,089","$93,879","$3,073,324","$92,880","$33,100",$0,"$270,655","$108,842",$0,"$43,170","$120,362","$260,139","$377,115","$325,970","$532,268",$300,"$14,586","$100,043","$5,651,371","$5,593,722",$0,$0,"$57,649","$3,786,405","$2,393,140","$14,068","$218,614","$439,759","$397,615",$700,$0,$0,$0,$0,"$280,547","$41,962",$0,1.1200,1.0400,0.0800,"$174,059,987","$348,818","$43,183,370","$55,889,892","$41,774,200","$52,184,840","$493,880","$402,913",$0,"$506,503","$2,167,640",$0,2012
2012,4823400,005902,Holliday ISD,Archer,862,832.423,"$7,502,916","$3,145,404","$332,195","$3,702,581","$322,736",41.92,4.43,49.35,4.3,"$6,945,719","$5,437,368","$1,508,351","$430,642","$100,899","$3,926,724","$99,944","$25,848",$0,"$381,288","$147,345",$0,"$53,147","$224,416","$257,228","$598,106","$283,161","$762,617","$19,242","$166,653",$0,"$7,709,480","$7,477,260",$0,$0,"$232,220","$5,185,314","$3,487,415","$22,997","$306,760","$577,529","$228,683",$338,$0,"$57,116",$0,$0,"$358,081","$99,466","$46,929",1.1700,1.0400,0.1300,"$249,650,483","$289,618","$36,966,100","$174,218,211","$33,011,667","$40,207,030","$789,067","$306,917",$0,"$46,898","$1,282,833",$0,2012
2012,4846080,005904,Windthorst ISD,Archer,471,449.630,"$4,920,889","$831,383","$242,026","$3,496,231","$351,249",16.89,4.92,71.05,7.14,"$4,214,917","$3,174,362","$1,040,555","$170,402","$37,004","$2,397,435","$34,792","$5,725",$0,"$258,845","$16,982",$0,"$45,766","$133,331","$255,589","$290,198","$261,070","$513,330","$1,854",$0,$0,"$4,492,482","$4,422,323",$0,$0,"$70,159","$3,076,756","$1,911,081","$19,761","$241,441","$241,068","$148,125","$35,993",$0,$0,$0,"$165,370","$236,005","$51,395","$26,517",1.2600,1.1700,0.0900,"$61,996,825","$131,628","$11,529,869","$24,771,265","$30,133,460","$5,509,270","$339,490","$148,094",$0,"$10,400","$4,518,359",$0,2012
2012,4814250,006902,Claude ISD,Armstrong,364,351.417,"$4,557,688","$1,327,923","$144,793","$2,733,732","$351,240",29.14,3.18,59.98,7.71,"$3,702,734","$3,000,617","$702,117","$171,654","$235,751","$2,010,720","$95,451","$4,634",$0,"$220,816","$30,418",$0,"$61,770","$112,200","$172,783","$259,681","$324,087","$332,708",$0,"$77,466",$0,"$4,203,123","$4,110,139",$0,$0,"$92,984","$2,714,136","$1,840,724","$1,278","$158,500","$307,825",$0,$560,$0,$0,$0,"$185,622","$216,159",$201,"$3,267",1.1700,1.0400,0.1300,"$98,245,507","$269,905","$26,123,410","$33,605,990","$50,736,130",$0,"$493,950","$306,472",$0,"$250,190","$3,413,346",$0,2012
